division,breed,sex,pts1,pts2,pts3,pts4,pts5
1,Barbets,Dog,2,3,4,5,6
1,Barbets,Bitch,2,3,4,5,6
1,Bracchi Italiani,Dog,2,3,4,5,6
1,Bracchi Italiani,Bitch,2,3,4,5,6
1,Brittanys,Dog,2,3,4,5,6
1,Brittanys,Bitch,2,4,6,7,9
1,Lagotti Romagnoli,Dog,2,3,4,5,6
1,Lagotti Romagnoli,Bitch,2,3,4,5,6
1,Nederlandse Kooikerhondjes,Dog,2,3,4,5,6
1,Nederlandse Kooikerhondjes,Bitch,2,3,4,5,6
1,Pointers,Dog,2,3,4,5,6
1,Pointers,Bitch,2,3,4,5,6
1,Pointers (German Shorthaired),Dog,2,3,4,5,6
1,Pointers (German Shorthaired),Bitch,2,4,5,6,8
1,Pointers (German Wirehaired),Dog,2,3,4,5,6
1,Pointers (German Wirehaired),Bitch,2,3,4,5,6
1,Retrievers (Chesapeake Bay),Dog,2,3,4,5,7
1,Retrievers (Chesapeake Bay),Bitch,2,4,5,6,8
1,Retrievers (Curly-Coated),Dog,2,3,4,5,6
1,Retrievers (Curly-Coated),Bitch,2,3,4,5,6
1,Retrievers (Flat-Coated),Dog,2,3,4,5,7
1,Retrievers (Flat-Coated),Bitch,2,3,4,5,8
1,Retrievers (Golden),Dog,2,8,14,17,23
1,Retrievers (Golden),Bitch,3,10,16,22,32
1,Retrievers (Labrador),Dog,2,8,14,24,42
1,Retrievers (Labrador),Bitch,3,12,20,39,73
1,Retrievers (Nova Scotia Duck Tolling),Dog,2,3,4,5,7
1,Retrievers (Nova Scotia Duck Tolling),Bitch,2,3,4,6,11
1,Setters (English),Dog,2,3,4,5,7
1,Setters (English),Bitch,2,4,5,7,10
1,Setters (Gordon),Dog,2,3,4,5,6
1,Setters (Gordon),Bitch,2,3,4,5,7
1,Setters (Irish),Dog,2,4,5,7,10
1,Setters (Irish),Bitch,2,7,12,13,14
1,Setters (Irish Red and White),Dog,2,3,4,5,6
1,Setters (Irish Red and White),Bitch,2,3,4,5,6
